,Unnamed: 0,id,user,user_followers_count,user_verified,favorite_count,retweet_count,reply_count,quote_count,created_at,lang,cleaned_text,engagement_score,user_activity,Named_Entities,Dominant_Topic,Topic_Words,Dominant_Topic_Name,day_of_week,hour_of_day,Sentiment,location,Emotion
270,270,1.85E+18,fichtenwipfler,153,FALSE,0,0,0,0,2024-10-14 06:52:14+00:00,en,This will probably only happen by reaching hard limits The destruction of the environment is an externalized problem because pollution deforestation and resource depletion are not borne by the entities causing them A fundamental change would have to take place for,0,Low,[],3,deforestation sacrifice think bhi change problem probably direction degradation depletion,Degradation & Ecosystem Loss,Monday,6,negative,Lucknow,neutral
271,271,1.85E+18,shemmie007,3696,FALSE,0,0,0,0,2024-10-14 06:48:26+00:00,en,Stop deforestation,0,Medium,[],4,deforestation amp trees regulation cutting goa eu european hills medieval,EU Deforestation Policy,Monday,6,negative,Chennai,neutral
272,272,1.85E+18,InvGurInd,18962,FALSE,0,0,0,0,2024-10-14 06:29:03+00:00,en,European Unions deforestation regulation carbon tax would impact Indian industries,0,High,"['European Unions', 'Indian']",4,deforestation amp trees regulation cutting goa eu european hills medieval,EU Deforestation Policy,Monday,6,neutral,Mumbai,anger
273,273,1.85E+18,arijnji,78,FALSE,0,0,0,0,2024-10-14 06:28:23+00:00,en,In my state we plant mangroves out of guilt from deforestation,0,Low,[],2,trees cutting deforestation global co2 accra state plant guilt mangroves,Global Deforestation & CO2,Monday,6,negative,Patna,disgust
274,274,1.85E+18,suechomba,2476,FALSE,0,0,0,0,2024-10-14 06:23:14+00:00,en,we are designing programs that will empower local communities economically amp socially to reduce small scale deforestation in the In CôtedIvoire Ghana amp Cameroon cocoa farming drives deforestation yet farmers need the money consumers want chocolates,0,Medium,"['CôtedIvoire Ghana', 'Cameroon']",4,deforestation amp trees regulation cutting goa eu european hills medieval,EU Deforestation Policy,Monday,6,positive,Ludhiana,neutral
275,275,1.85E+18,Julie28086389,2425,FALSE,0,0,0,0,2024-10-14 06:19:58+00:00,en,I know many in the charity sector who would not sign even a low level local petition requesting services fearful charities they worked for would lose status This message was spread forcefully by the previous RW conservative government Everything was made political,0,Medium,['RW'],0,cutting handwara trees government local worked sector rw message petition,Deforestation Regulation,Monday,6,negative,Lucknow,fear
276,276,1.85E+18,Julie28086389,2425,FALSE,1,0,0,1,2024-10-14 06:09:38+00:00,en,When we consult health care professionals we do not want politicians in the room supervising our choices and decisions His deflection is not in the least convincing,2,Medium,[],1,amazon like cutting impact deforestation ecosystem trees essential threaten rainforest,Amazon Rainforest Impact,Monday,6,positive,Vadodara,neutral
277,277,1.85E+18,MSavesoil,483,FALSE,0,0,0,0,2024-10-14 06:08:36+00:00,en,We need healthy forests as sinks and regulators increases crisis,0,Low,[],1,amazon like cutting impact deforestation ecosystem trees essential threaten rainforest,Amazon Rainforest Impact,Monday,6,negative,Madurai,neutral
278,278,1.85E+18,WFraserEurope,2599,FALSE,0,0,0,0,2024-10-14 06:00:12+00:00,en,The European Union Deforestation Regulation EUDR marks a crucial step in Europes dedication to environmental protection echoing global efforts to preserve our ecosystems Read how West Fraser is preparing for amp aligning with the requirements,0,Medium,"['The European Union Deforestation Regulation EUDR marks', 'Europes', 'Read how', 'West Fraser']",2,trees cutting deforestation global co2 accra state plant guilt mangroves,Global Deforestation & CO2,Monday,6,neutral,Europes,neutral
279,279,1.85E+18,EarthRachael,13,FALSE,0,0,0,0,2024-10-14 05:59:13+00:00,en,Ive seen firsthand the devastating impact of deforestation on our ecosystem Its heartbreaking to see the Amazon suffer like this Bolivias laws recognizing Pachamamas rights are a great step but clearly more needs to be done to protect her,0,Low,"['Amazon', 'Bolivias', 'Pachamamas']",1,amazon like cutting impact deforestation ecosystem trees essential threaten rainforest,Amazon Rainforest Impact,Monday,5,positive,Hyderabad,sadness
280,280,1.85E+18,SEATINIUGANDA,9632,FALSE,0,0,0,0,2024-10-14 07:10:29+00:00,en,Its now 73 days left to the European Union Deforestation Regulation Compliance Deadline,0,Medium,"['73 days', 'the European Union Deforestation Regulation Compliance Deadline']",4,deforestation amp trees regulation cutting goa eu european hills medieval,EU Deforestation Policy,Monday,7,neutral,Bangalore,neutral
281,281,1.85E+18,business,9544394,FALSE,4,1,0,0,2024-10-14 07:05:04+00:00,en,Efforts to reverse deforestation and land degradation are moving in the wrong direction exposing the hollowness of UN pledges writes via,5,Low,['UN'],3,deforestation sacrifice think bhi change problem probably direction degradation depletion,Degradation & Ecosystem Loss,Monday,7,negative,Ludhiana,neutral
282,282,1.85E+18,MlLefranc,2141,FALSE,0,0,0,0,2024-10-14 07:04:10+00:00,en,EU proposes delaying landmark deforestation law amid industry pressure EU regulation regarding deforestation is deffered indefinitly,0,Medium,"['EU', 'EU']",4,deforestation amp trees regulation cutting goa eu european hills medieval,EU Deforestation Policy,Monday,7,negative,Mumbai,disgust
